"RECIPE","LAST RUN","RUN RESULT","NOTES"
"Mou.download.recipe","2015-10-05 10:23:40","OK",""
"Mou.install.recipe","2015-10-05 10:23:46","OK",""
"Mou.munki.recipe","2015-10-05 10:23:56","OK",""
"Mou.pkg.recipe","2015-10-05 10:23:57","OK",""
"Smaller.download.recipe","2015-10-05 10:23:58","OK",""
"Smaller.install.recipe","2015-10-05 10:24:04","OK",""
"Smaller.munki.recipe","2015-10-05 10:24:16","OK",""
"Smaller.pkg.recipe","2015-10-05 10:24:17","OK",""
"ADPassMon.download.recipe","2015-10-05 10:24:19","OK",""
"ADPassMon.install.recipe","2015-10-05 10:24:26","OK",""
"ADPassMon.munki.recipe","2015-10-05 10:24:37","OK",""
"ADPassMon.pkg.recipe","2015-10-05 10:24:40","OK",""
"AirDroid.download.recipe","2015-10-05 10:24:42","OK",""
"AirDroid.install.recipe","2015-10-05 10:24:45","OK",""
"AirDroid.munki.recipe","2015-10-05 10:24:51","OK",""
"AirDroid.pkg.recipe","2015-10-05 10:25:00","OK",""
"Anvil.download.recipe","2015-10-05 10:25:02","OK",""
"Anvil.install.recipe","2015-10-05 10:25:08","OK",""
"Anvil.munki.recipe","2015-10-05 10:25:19","OK",""
"Anvil.pkg.recipe","2015-10-05 10:25:20","OK",""
"ApacheDirectoryStudio.download.recipe","2015-10-05 10:25:21","OK",""
"ApacheDirectoryStudio.install.recipe","2015-10-05 10:25:34","OK",""
"ApacheDirectoryStudio.munki.recipe","2015-10-05 10:26:18","OK",""
"ApacheDirectoryStudio.pkg.recipe","2015-10-05 10:26:20","OK",""
"AppWrapper3.download.recipe","2015-10-05 10:27:22","ERROR: Unarchiving /Users/elliot/Library/AutoPkg/Cache/com.github.homebysix.download.AppWrapper3/downloads/appWrapper3.zip with ditto failed: ditto: App Wrapper 3.app/Contents/Frameworks/RBAppearancePak.xojo_plugin_0.dylib: No such file or directory
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.

Failed.
",""
"AppWrapper3.install.recipe","2015-10-05 10:28:22","ERROR: Unarchiving /Users/elliot/Library/AutoPkg/Cache/com.github.homebysix.install.AppWrapper3/downloads/appWrapper3.zip with ditto failed: ditto: App Wrapper 3.app/Contents/Frameworks/RBAppearancePak.xojo_plugin_0.dylib: No such file or directory
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.
ditto: Couldn't read pkzip signature.

Failed.
",""
"AppWrapper3.munki.recipe","2015-10-05 10:28:34","OK",""
"AppWrapper3.pkg.recipe","2015-10-05 10:28:38","OK",""
"AppZapper.download.recipe","2015-10-05 10:28:38","OK",""
"AppZapper.install.recipe","2015-10-05 10:28:45","OK",""
"AppZapper.munki.recipe","2015-10-05 10:28:54","OK",""
"AppZapper.pkg.recipe","2015-10-05 10:28:54","OK",""
"AutoCasperNBI.download.recipe","2015-10-05 10:28:56","OK",""
"AutoCasperNBI.install.recipe","2015-10-05 10:29:05","OK",""
"AutoCasperNBI.munki.recipe","2015-10-05 10:29:19","OK",""
"AutoCasperNBI.pkg.recipe","2015-10-05 10:29:21","OK",""
"AutoPkgr.download.recipe","2015-10-05 10:29:24","OK",""
"AutoPkgr.install.recipe","2015-10-05 10:29:28","OK",""
"AutoPkgr.munki.recipe","2015-10-05 10:29:33","OK",""
"AutoPkgr.pkg.recipe","2015-10-05 10:29:39","OK",""
"BetterTouchTool.download.recipe","2015-10-05 10:29:40","OK",""
"BetterTouchTool.install.recipe","2015-10-05 10:29:48","OK",""
"BetterTouchTool.munki.recipe","2015-10-05 10:30:00","OK",""
"BetterTouchTool.pkg.recipe","2015-10-05 10:30:01","OK",""
"BetterUnarchiver.download.recipe","2015-10-05 10:30:04","OK",""
"BetterUnarchiver.install.recipe","2015-10-05 10:30:06","OK",""
"BetterUnarchiver.munki.recipe","2015-10-05 10:30:10","OK",""
"BetterUnarchiver.pkg.recipe","2015-10-05 10:30:15","OK",""
"BetterWindowManager.download.recipe","2015-10-05 10:30:16","OK",""
"BetterWindowManager.install.recipe","2015-10-05 10:30:21","OK",""
"BetterWindowManager.munki.recipe","2015-10-05 10:30:30","OK",""
"BetterWindowManager.pkg.recipe","2015-10-05 10:30:30","OK",""
"BitTorrentSync.download.recipe","2015-10-05 10:30:35","OK",""
"BitTorrentSync.install.recipe","2015-10-05 10:30:38","OK",""
"BitTorrentSync.munki.recipe","2015-10-05 10:30:44","OK",""
"BitTorrentSync.pkg.recipe","2015-10-05 10:30:49","OK",""
"SkalaColorInstaller.download.recipe","2015-10-05 10:30:51","OK",""
"SkalaColorInstaller.install.recipe","2015-10-05 10:30:55","OK",""
"SkalaColorInstaller.munki.recipe","2015-10-05 10:31:06","OK",""
"SkalaColorInstaller.pkg.recipe","2015-10-05 10:31:09","OK",""
"SkalaPreview.download.recipe","2015-10-05 10:31:13","OK",""
"SkalaPreview.install.recipe","2015-10-05 10:31:27","OK",""
"SkalaPreview.munki.recipe","2015-10-05 10:31:42","OK",""
"SkalaPreview.pkg.recipe","2015-10-05 10:31:49","OK",""
"ForkLift.download.recipe","2015-10-05 10:31:51","OK",""
"ForkLift.install.recipe","2015-10-05 10:31:59","OK",""
"ForkLift.munki.recipe","2015-10-05 10:32:09","OK",""
"ForkLift.pkg.recipe","2015-10-05 10:32:10","OK",""
"NetNewsWire.download.recipe","2015-10-05 10:32:13","OK",""
"NetNewsWire.install.recipe","2015-10-05 10:32:20","OK",""
"NetNewsWire.munki.recipe","2015-10-05 10:32:31","OK",""
"NetNewsWire.pkg.recipe","2015-10-05 10:32:33","OK",""
"Sketch.download.recipe","2015-10-05 10:32:34","OK",""
"Sketch.install.recipe","2015-10-05 10:32:41","OK",""
"Sketch.munki.recipe","2015-10-05 10:32:54","OK",""
"Sketch.pkg.recipe","2015-10-05 10:32:55","OK",""
"BonjourBrowser.pkg.recipe","2015-10-05 10:32:59","OK",""
"Bookends.download.recipe","2015-10-05 10:33:45","OK",""
"Bookends.install.recipe","2015-10-05 10:34:34","OK",""
"Bookends.munki.recipe","2015-10-05 10:35:21","OK",""
"Bookends.pkg.recipe","2015-10-05 10:36:31","OK",""
"Boom2.download.recipe","2015-10-05 10:36:33","OK",""
"Boom2.install.recipe","2015-10-05 10:36:36","OK",""
